order_id,item
1,Pizza
2,Pad Thai
3,Butter Chicken
4,Eggrolls
5,Burger
6,Tandoori Chicken
7,Sushi Roll
8,Ramen
9,Pasta Carbonara
10,Tacos
11,Burrito
12,Fried Rice
13,Chicken Kebab
14,Fish and Chips
15,Steak
16,Caesar Salad
17,Pho
18,Gnocchi
19,Falafel Wrap
20,Mango Sticky Rice
21,Paneer Tikka
22,Beef Rendang
23,Shawarma
24,Poutine
25,Kimchi Stew
26,Curry Laksa
27,Bruschetta
28,Lasagna
29,Grilled Salmon
30,Vegetable Stir Fry
31,Chicken Alfredo
32,Gumbo
33,Jollof Rice
34,Empanadas
35,Bánh mì
36,Moussaka
37,Pad Kra Pao
38,Samosa
39,Tom Yum
40,Ceviche
41,Polenta
42,Ribeye
43,Okonomiyaki
44,Dolma
45,Clam Chowder
46,Mac and Cheese
47,Chicken Parmigiana
48,Gyro
49,Naan Pizza
50,Vegan Burger
51,Vegan Burger
