BrokerID,BrokerName,ReportsTo
1,Broker_1,
2,Broker_2,
3,Broker_3,
4,Broker_4,
5,Broker_5,
6,Broker_6,8.0
7,Broker_7,21.0
8,Broker_8,39.0
9,Broker_9,19.0
10,Broker_10,23.0
11,Broker_11,11.0
12,Broker_12,11.0
13,Broker_13,24.0
14,Broker_14,36.0
15,Broker_15,40.0
16,Broker_16,24.0
17,Broker_17,3.0
18,Broker_18,22.0
19,Broker_19,2.0
20,Broker_20,24.0
21,Broker_21,44.0
22,Broker_22,30.0
23,Broker_23,38.0
24,Broker_24,2.0
25,Broker_25,21.0
26,Broker_26,33.0
27,Broker_27,12.0
28,Broker_28,22.0
29,Broker_29,44.0
30,Broker_30,25.0
31,Broker_31,49.0
32,Broker_32,27.0
33,Broker_33,42.0
34,Broker_34,28.0
35,Broker_35,16.0
36,Broker_36,15.0
37,Broker_37,47.0
38,Broker_38,44.0
39,Broker_39,3.0
40,Broker_40,37.0
41,Broker_41,7.0
42,Broker_42,21.0
43,Broker_43,9.0
44,Broker_44,39.0
45,Broker_45,18.0
46,Broker_46,4.0
47,Broker_47,25.0
48,Broker_48,14.0
49,Broker_49,9.0
50,Broker_50,26.0
