PolicyID,BrokerID,Premium
1001,4,300
1002,5,200
1003,6,400
1004,4,3732
1005,25,758
1006,14,3422
1007,50,1297
1008,9,4432
1009,26,3547
1010,2,2661
1011,20,1944
1012,28,809
1013,47,2961
1014,7,1519
1015,44,2136
1016,8,296
1017,47,3369
1018,35,3061
1019,14,1884
1020,17,1993
1021,36,638
1022,50,3126
1023,40,2109
1024,4,2535
1025,2,3069
1026,6,4886
1027,42,1952
1028,4,4211
1029,29,3519
1030,18,412
1031,26,773
1032,44,1166
1033,34,3793
1034,10,2199
1035,36,3873
1036,14,4698
1037,31,3258
1038,48,4240
1039,15,2206
1040,8,3320
1041,14,1832
1042,23,2405
1043,40,1304
1044,21,4649
1045,16,3341
1046,45,1846
1047,18,4141
1048,47,4873
1049,24,4832
1050,26,1798
1051,25,1595
1052,45,4349
1053,41,4073
1054,29,403
1055,15,3333
1056,45,2707
1057,1,248
1058,25,2350
1059,7,3111
1060,9,4583
1061,24,3927
1062,1,3019
1063,44,3384
1064,8,3941
1065,24,1106
1066,11,4217
1067,17,310
1068,8,4643
1069,35,1450
1070,35,4137
1071,33,1677
1072,5,1368
1073,42,4646
1074,39,4885
1075,41,3254
1076,28,2885
1077,7,4705
1078,9,1104
1079,8,4715
1080,12,3596
1081,34,1195
1082,33,1843
1083,48,3586
1084,23,712
1085,24,2635
1086,37,3504
1087,35,375
1088,44,1109
1089,40,4698
1090,22,3217
1091,27,965
1092,35,4904
1093,1,4792
1094,35,3270
1095,37,166
1096,47,1393
1097,14,2355
1098,3,2674
1099,1,1219
1100,5,3594
1101,26,2715
1102,14,1210
1103,39,2477
1104,27,3570
1105,9,451
1106,15,4426
1107,15,756
1108,26,3320
1109,42,849
1110,13,1289
1111,32,340
1112,39,2450
1113,49,1130
1114,32,3125
1115,4,1334
1116,30,3477
1117,37,3544
1118,23,277
1119,39,2215
1120,45,1966
1121,15,719
1122,43,2045
1123,29,2883
1124,36,4013
1125,13,4871
1126,32,4164
1127,7,3051
1128,22,1836
1129,28,3159
1130,2,304
1131,42,2687
1132,45,1559
1133,6,4207
1134,28,934
1135,28,3325
1136,44,4491
1137,44,2956
1138,20,687
1139,30,1991
1140,11,2605
1141,28,674
1142,25,3100
1143,39,4281
1144,33,4930
1145,1,4265
1146,27,2518
1147,13,3997
1148,41,4645
1149,3,2851
1150,39,1121
1151,6,1316
1152,8,2924
1153,27,2132
1154,9,1003
1155,37,4296
1156,33,3886
1157,42,3919
1158,44,724
1159,24,3411
1160,15,1298
1161,32,1865
1162,32,4927
1163,24,4004
1164,41,2641
1165,49,2810
1166,49,3274
1167,12,3201
1168,39,154
1169,2,1026
1170,3,1141
1171,49,4292
1172,37,4514
1173,49,4615
1174,17,785
1175,49,1843
1176,2,1832
1177,2,4902
1178,28,269
1179,23,980
1180,37,3825
1181,32,1519
1182,33,890
1183,1,266
1184,19,2988
1185,2,1300
1186,44,2081
1187,26,1162
1188,32,1814
1189,6,1231
1190,32,4879
1191,4,662
1192,11,2999
1193,17,709
1194,38,3822
1195,24,4733
1196,5,3493
1197,34,4220
1198,6,4949
1199,22,1620
1200,11,730
