issue_month,issue_year,card_name,issued_amount
7,2021,Discover IT,41516
4,2023,Amex Platinum,124261
11,2021,Capital One Venture,31542
8,2022,Citi Premier,51677
5,2022,Chase Sapphire Reserve,196732
7,2021,Discover IT,80343
10,2023,Discover IT,69081
3,2023,Discover IT,57569
7,2021,Amex Platinum,99065
11,2021,Capital One Venture,88561
11,2021,Amex Platinum,134693
8,2021,Wells Fargo Active Cash,56962
5,2020,Chase Freedom Flex,78295
4,2022,Chase Freedom Flex,63807
8,2022,Wells Fargo Active Cash,72348
8,2020,Capital One Venture,56432
3,2021,Citi Premier,47749
6,2023,Amex Platinum,137854
5,2021,Chase Sapphire Reserve,190262
2,2021,Discover IT,67080
8,2021,Discover IT,31324
12,2023,Capital One Venture,55731
6,2021,Citi Premier,89171
2,2022,Chase Freedom Flex,85909
12,2022,Chase Freedom Flex,73803
5,2021,Discover IT,49870
1,2022,Capital One Venture,64578
12,2021,Amex Platinum,106790
10,2022,Chase Freedom Flex,75289
6,2022,Amex Platinum,135129
12,2022,Citi Premier,58178
9,2020,Chase Freedom Flex,78710
1,2023,Chase Freedom Flex,65485
11,2021,Amex Gold,164482
11,2021,Chase Freedom Flex,70652
10,2020,Wells Fargo Active Cash,34748
12,2022,Chase Sapphire Reserve,236769
12,2022,Wells Fargo Active Cash,39435
3,2020,Capital One Venture,33709
12,2022,Capital One Venture,88425
7,2021,Amex Platinum,110355
4,2022,Wells Fargo Active Cash,85771
9,2021,Wells Fargo Active Cash,87799
3,2022,Wells Fargo Active Cash,43116
5,2021,Citi Premier,55470
3,2023,Chase Freedom Flex,92344
7,2021,Chase Sapphire Reserve,192918
5,2021,Amex Platinum,132224
9,2021,Wells Fargo Active Cash,69298
7,2023,Wells Fargo Active Cash,72956
2,2023,Amex Gold,134683
4,2021,Amex Platinum,141629
9,2022,Wells Fargo Active Cash,30504
12,2023,Amex Platinum,108016
2,2022,Chase Freedom Flex,73960
10,2022,Amex Gold,153591
9,2021,Amex Platinum,147641
10,2020,Chase Sapphire Reserve,186395
5,2023,Chase Sapphire Reserve,172700
2,2023,Capital One Venture,64620
4,2022,Amex Gold,157678
12,2021,Amex Gold,140559
12,2021,Capital One Venture,57509
7,2022,Amex Platinum,141642
12,2023,Amex Gold,131003
8,2023,Chase Sapphire Reserve,171732
3,2022,Chase Sapphire Reserve,241362
1,2022,Wells Fargo Active Cash,60354
4,2020,Chase Freedom Flex,63843
2,2021,Amex Gold,164472
8,2023,Amex Platinum,97640
4,2022,Capital One Venture,82528
2,2020,Capital One Venture,68413
6,2021,Amex Platinum,132638
6,2022,Citi Premier,82736
10,2020,Discover IT,72356
4,2021,Chase Freedom Flex,94597
6,2022,Capital One Venture,70821
2,2022,Amex Gold,123330
10,2022,Chase Freedom Flex,69087
12,2021,Amex Gold,161430
2,2022,Citi Premier,54504
10,2021,Chase Sapphire Reserve,157114
4,2021,Chase Freedom Flex,63323
8,2022,Wells Fargo Active Cash,64121
7,2022,Capital One Venture,40975
12,2023,Chase Freedom Flex,61023
9,2022,Chase Freedom Flex,71447
8,2022,Chase Freedom Flex,74933
5,2020,Discover IT,53959
2,2021,Chase Freedom Flex,50667
5,2021,Amex Gold,173620
8,2021,Chase Sapphire Reserve,179703
10,2023,Citi Premier,39337
9,2021,Amex Platinum,126427
12,2023,Chase Freedom Flex,86487
12,2022,Capital One Venture,49129
12,2022,Chase Freedom Flex,90251
9,2022,Capital One Venture,61921
1,2022,Amex Gold,153307
9,2021,Capital One Venture,57355
7,2021,Wells Fargo Active Cash,67732
9,2022,Amex Platinum,84835
8,2021,Chase Sapphire Reserve,170159
1,2020,Capital One Venture,68810
12,2022,Capital One Venture,77605
8,2021,Chase Sapphire Reserve,188088
8,2023,Amex Platinum,135284
11,2023,Chase Freedom Flex,85547
3,2023,Capital One Venture,61471
1,2021,Chase Sapphire Reserve,232844
8,2020,Wells Fargo Active Cash,57532
3,2023,Wells Fargo Active Cash,64349
3,2021,Amex Gold,176866
1,2023,Chase Sapphire Reserve,195445
11,2023,Amex Gold,125713
5,2023,Wells Fargo Active Cash,86178
10,2021,Amex Platinum,129407
7,2021,Chase Freedom Flex,54804
10,2023,Chase Sapphire Reserve,200990
9,2021,Citi Premier,40136
12,2021,Wells Fargo Active Cash,30009
7,2022,Wells Fargo Active Cash,49255
9,2023,Citi Premier,88141
8,2022,Discover IT,53793
12,2022,Wells Fargo Active Cash,86570
2,2020,Capital One Venture,59548
1,2022,Amex Platinum,117892
7,2023,Chase Sapphire Reserve,151015
7,2021,Citi Premier,89168
8,2022,Capital One Venture,57712
5,2023,Citi Premier,64961
3,2022,Chase Sapphire Reserve,158415
12,2022,Amex Gold,166318
8,2022,Chase Sapphire Reserve,212292
6,2021,Discover IT,53833
11,2021,Chase Sapphire Reserve,154158
3,2023,Chase Sapphire Reserve,212680
1,2023,Discover IT,50309
3,2023,Amex Platinum,86970
5,2023,Wells Fargo Active Cash,36938
3,2022,Chase Sapphire Reserve,236704
1,2022,Discover IT,76540
5,2022,Capital One Venture,50384
10,2022,Amex Gold,138017
7,2022,Amex Gold,130344
7,2022,Chase Sapphire Reserve,158702
11,2023,Amex Platinum,80384
9,2021,Amex Platinum,80404
10,2021,Capital One Venture,70943
10,2020,Chase Sapphire Reserve,197926
12,2022,Amex Gold,149189
3,2020,Amex Platinum,92763
7,2021,Chase Sapphire Reserve,168384
1,2022,Citi Premier,62606
4,2021,Amex Platinum,89860
4,2022,Discover IT,68757
5,2020,Citi Premier,45106
7,2020,Wells Fargo Active Cash,80612
7,2023,Amex Platinum,103574
11,2021,Amex Gold,143524
4,2021,Chase Freedom Flex,53636
7,2022,Citi Premier,40916
11,2022,Wells Fargo Active Cash,34809
3,2021,Capital One Venture,62201
6,2022,Capital One Venture,83330
12,2020,Amex Gold,133456
2,2020,Amex Platinum,136397
10,2022,Chase Sapphire Reserve,188765
9,2022,Amex Platinum,114816
5,2022,Amex Gold,165106
6,2022,Capital One Venture,83932
12,2023,Amex Platinum,97100
12,2022,Capital One Venture,87091
12,2021,Citi Premier,51949
12,2022,Wells Fargo Active Cash,34544
4,2021,Chase Sapphire Reserve,187744
11,2021,Citi Premier,75543
10,2020,Capital One Venture,72783
7,2020,Capital One Venture,56657
12,2023,Chase Freedom Flex,86187
9,2023,Chase Freedom Flex,97198
7,2022,Citi Premier,37239
1,2021,Discover IT,88918
1,2021,Citi Premier,44489
9,2021,Chase Freedom Flex,99401
11,2021,Capital One Venture,88017
9,2022,Amex Gold,163125
4,2022,Citi Premier,79922
9,2022,Capital One Venture,58538
3,2021,Amex Gold,152049
7,2023,Amex Gold,157131
6,2022,Chase Freedom Flex,92944
8,2022,Citi Premier,80229
11,2022,Amex Platinum,104285
9,2021,Chase Sapphire Reserve,187626
5,2021,Chase Freedom Flex,92808
1,2021,Chase Freedom Flex,72928
3,2022,Amex Platinum,133871
10,2020,Chase Sapphire Reserve,169198
