delivery_id,order_id,delivery_date,delivery_status
3001,2001,2023-02-01T08:45:00Z,Delivered
3002,2002,2023-02-02T10:20:00Z,Shipped
3004,2004,,In Progress
3005,2005,,Pending
3006,2006,2023-05-31T10:41:00Z,Delivered
3007,2007,,Cancelled
3008,2008,,Cancelled
3009,2009,,Cancelled
3010,2010,,In Progress
3011,2011,2023-02-09T23:52:00Z,Shipped
3012,2012,,Cancelled
3013,2013,2023-09-18T15:44:00Z,Delivered
3014,2014,,Cancelled
3015,2015,,Pending
3016,2016,,In Progress
3017,2017,,Pending
3018,2018,,In Progress
3019,2019,,Cancelled
3020,2020,,In Progress
3021,2021,2023-07-12T18:41:00Z,Delivered
3022,2022,2023-07-17T10:50:00Z,Shipped
3023,2023,2023-05-27T19:29:00Z,Shipped
3024,2024,,Pending
3025,2025,,In Progress
3026,2026,2023-12-31T03:40:00Z,Delivered
3027,2027,,In Progress
3028,2028,,Pending
3029,2029,,In Progress
3030,2030,,Cancelled
3031,2031,2023-10-23T02:52:00Z,Shipped
3032,2032,2023-04-07T21:45:00Z,Shipped
3033,2033,2023-07-08T14:11:00Z,Delivered
3034,2034,2023-02-08T02:47:00Z,Shipped
3035,2035,,In Progress
3036,2036,,Cancelled
3037,2037,,In Progress
3038,2038,2023-12-06T05:09:00Z,Shipped
3039,2039,,In Progress
3040,2040,,Cancelled
3041,2041,,Pending
3042,2042,2023-07-07T01:59:00Z,Shipped
3043,2043,2023-09-20T18:39:00Z,Delivered
3044,2044,,Pending
3045,2045,,Cancelled
3046,2046,2023-06-19T09:23:00Z,Delivered
3047,2047,2023-05-29T13:06:00Z,Delivered
3048,2048,2023-05-05T10:24:00Z,Delivered
3049,2049,2023-01-02T23:42:00Z,Delivered
3050,2050,,Pending
