order_id,customer_id,book_id,order_date,quantity
2001,5028,1031,2023-07-28T00:59:54Z,2
2002,5017,1045,2023-12-01T04:43:58Z,5
2003,5012,1049,2023-01-01T07:52:39Z,4
2004,5002,1018,2023-07-13T06:53:28Z,5
2005,5005,1033,2023-12-15T21:20:11Z,4
2006,5021,1040,2023-08-19T18:08:16Z,5
2007,5031,1027,2023-05-17T03:00:14Z,5
2008,5014,1039,2023-09-29T14:10:37Z,3
2009,5016,1010,2023-07-30T04:51:01Z,1
2010,5024,1006,2023-06-17T07:02:22Z,5
2011,5003,1046,2023-08-01T00:22:57Z,5
2012,5028,1013,2023-02-19T09:42:56Z,2
2013,5014,1033,2023-12-15T06:48:24Z,4
2014,5004,1017,2023-11-29T12:00:35Z,5
2015,5002,1024,2023-11-08T17:15:04Z,1
2016,5019,1004,2023-02-16T23:38:30Z,4
2017,5010,1033,2023-04-14T14:16:40Z,4
2018,5014,1049,2023-08-31T14:53:04Z,2
2019,5009,1045,2023-05-29T01:53:10Z,3
2020,5021,1024,2023-07-15T16:07:49Z,2
2021,5002,1008,2023-05-08T09:39:52Z,5
2022,5017,1001,2023-03-08T04:47:33Z,3
2023,5002,1006,2023-03-21T22:59:56Z,3
2024,5030,1036,2023-02-08T20:50:50Z,3
2025,5030,1013,2023-01-12T20:13:43Z,2
2026,5021,1017,2023-02-26T05:21:54Z,1
2027,5020,1020,2023-04-24T19:07:15Z,1
2028,5020,1018,2023-01-26T18:43:05Z,2
2029,5008,1045,2023-11-24T05:59:49Z,3
2030,5010,1023,2023-03-01T09:55:16Z,4
2031,5009,1018,2023-04-18T11:30:48Z,5
2032,5011,1031,2023-05-15T18:24:10Z,1
2033,5026,1009,2023-08-05T19:02:44Z,1
2034,5030,1039,2023-01-13T03:43:36Z,1
2035,5008,1039,2023-01-03T09:58:08Z,5
2036,5026,1021,2023-07-11T10:48:09Z,4
2037,5008,1041,2023-12-13T17:20:18Z,2
2038,5027,1006,2023-05-28T21:54:38Z,1
2039,5010,1006,2023-09-22T18:21:59Z,5
2040,5031,1003,2023-02-02T22:39:29Z,3
2041,5024,1034,2023-05-30T10:25:42Z,4
2042,5001,1031,2023-01-17T00:15:13Z,2
2043,5005,1001,2023-03-25T23:36:35Z,2
2044,5011,1012,2023-07-18T10:32:39Z,2
2045,5020,1028,2023-02-23T17:50:57Z,4
2046,5026,1034,2023-12-24T04:20:07Z,2
2047,5009,1019,2023-05-06T08:36:27Z,5
2048,5003,1015,2023-01-31T08:15:51Z,4
2049,5018,1029,2023-06-20T19:56:16Z,4
2050,5020,1027,2023-09-18T16:58:11Z,4
