concert_id,genre,concert_revenue
1000,Rock,83149.21
1001,Rock,208918.61
1002,Rock,75164.96
1003,Rock,29007.91
1004,Rock,123711.75
1005,Rock,249554.76
1006,Rock,107975.21
1007,Pop,24717.17
1008,Pop,21086.13
1009,Pop,24896.72
1010,Pop,22290.03
1011,Pop,20376.42
1012,Pop,25797.03
1013,Pop,20091.34
1014,Jazz,16525.29
1015,Jazz,13844.72
1016,Jazz,15512.79
1017,Jazz,14443.22
1018,Jazz,16988.32
1019,Jazz,13312.86
1020,Jazz,13315.17
1021,Classical,9997.73
1022,Classical,13251.24
1023,Classical,13908.42
1024,Classical,12060.92
1025,Classical,12460.85
1026,Classical,12955.36
1027,Classical,13727.41
1028,HipHop,53199.84
1029,HipHop,53331.16
1030,HipHop,49701.46
1031,HipHop,47237.54
1032,HipHop,53167.27
1033,HipHop,58481.48
1034,HipHop,57732.16
1035,EDM,41767.61
1036,EDM,41687.76
1037,EDM,39605.21
1038,EDM,38548.32
1039,EDM,41760.46
1040,EDM,43108.54
1041,EDM,41572.81
1042,Country,24403.9
1043,Country,23073.89
1044,Country,22956.82
1045,Country,18155.71
1046,Country,21202.57
1047,Country,24468.71
1048,Country,22703.31
1049,Folk,7975.36
1050,Folk,8151.68
1051,Folk,8577.64
1052,Folk,7558.6
1053,Folk,8309.51
1054,Folk,7458.68
1055,Folk,9108.42
1056,Metal,20122.32
1057,Metal,21332.26
1058,Metal,23439.9
1059,Metal,24974.35
1060,Metal,25818.61
1061,Metal,26117.32
1062,Metal,22811.62
1063,R&B,325598.08
1064,R&B,134138.88
1065,R&B,332222.51
1066,R&B,378649.11
1067,R&B,27084.1
1068,R&B,318681.66
1069,R&B,253983.25
